;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1181608;C;E;D;D;5;C;A;C;E;C;C;B;A;B;A;B;A;B;E;A;A;E;A;C;B;CE;CE;1;F;0;;1.0;2.0;1.0;2.0;;2;1.0;1.0;1.0;2
1143285;;E;;B;1;B;A;B;B;A;A;B;B;B;B;B;A;A;B;A;A;B;A;A;B;;SP;0;M;0;4.0;3.0;;;;1.0;7;;1.0;;1
143892;E;D;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;SE;0;F;0;;3.0;;1.0;2.0;3.0;3;;1.0;;2
576673;F;D;;B;4;C;A;B;D;B;B;B;B;B;A;B;A;A;B;A;B;E;A;B;B;;BA;0;F;1;;1.0;;;;1.0;1;;1.0;;3
456552;E;B;C;B;5;H;A;B;D;C;A;B;A;B;A;B;A;A;C;A;A;E;A;C;B;;RS;0;F;0;;2.0;;1.0;2.0;1.0;2;;1.0;;2
1359419;;B;;B;3;B;A;B;C;A;A;B;A;A;A;B;A;A;A;A;A;D;A;A;B;;BA;0;F;0;7.0;1.0;;;;1.0;9;;1.0;;1
893593;C;G;B;E;3;L;B;C;C;B;A;B;B;B;A;B;A;A;C;A;A;D;A;A;B;;MG;0;M;1;;1.0;;;;1.0;1;;1.0;;3
1691949;E;G;D;D;4;G;A;C;D;B;A;B;A;B;A;B;A;B;B;A;B;D;A;C;B;;SP;0;F;1;;3.0;;;;1.0;1;;1.0;;3
1573389;F;G;D;D;4;Q;B;E;E;C;A;B;B;B;B;B;A;B;E;B;B;E;A;D;B;PE;PE;0;M;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
1646801;C;B;B;B;3;E;A;B;D;B;A;B;A;B;A;A;A;B;B;A;A;C;A;B;B;;PR;0;F;0;17.0;1.0;;;;2.0;13;;1.0;;1
